id;language;source;text
40;es;hoy hemos celebrado la ultima reunion plenaria del gppopular en esta legislatura la dedicacion y el trabajo sin descanso de los diputados del ppopular ha hecho posible que lideremos la iniciativa politica en espana estamos preparados e ilusionados para volver a ganar ;today we have celebrated the last plenary meeting of the gppopular in this legislature the dedication and tireless work of the deputies of the popular has made it possible for us to lead the political initiative in Spain we are ready and excited to win again
41;es;acabamos de aterrizar en venezuela durante la escala en santo domingo tanto la embajadora de la ue como el de espana nos han avisado de que vamos a ser expulsados o retenidos ;We just landed in Venezuela during the stopover in Santo Domingo, both the EU Ambassador and the Spanish Ambassador have warned us that we will be expelled or detained
42;ca;ah si que hi tinc a veure jo amb ciu i la caixa m agradara molt que me n informeu sobretot per tal de cobrar el redit que em correspongui ;oh yeah i have to see me with ciu and the box i would really like to inform you, above all, in order to collect the credit that corresponds to me
43;ca;el proper dimarts taller de design thinking geoinformacio i clima de la ma de marctorres i marta gonzalez al cececebe ;next Tuesday, design thinking workshop geoinformation and climate of the marctorres and marta gonzalez al cececebe
44;es;es una muy buena noticia para espana cataluna y barcelona necesitamos a inesarrimadas y su valentia su talento su juventud su sensibilidad bravo ines ;it is a very good news for cataluna and barcelona spain we need to inesarrimadas and his courage his talent his youth his bravo sensitivity ines
45;ca; els pscbarcelona volem tendir ponts dialeg i treballar per atraure inversions i talent generar ocupacio i dinamitzar l activitat economica a barcelona la fugida d empreses del va ser sobretot per la irresponsabilitat dels independentistes comissionsbcn;the Pscbarcelona wanted to have bridges dialect and worked to attract investment and talent to generate employment and to boost economic activity in Barcelona, the flight of companies was mainly due to the irresponsibility of the independentistas commissionsbcn
46;ca; no oblidessim quantes vegades aquest pais s ha deixat portar pel rampell l acceleracio en el moment inadequat ;Let us not forget how many times this country has been led by the ramplication acceleration at the moment inadequate
47;ca;tot el meu suport als joves d altsasua i tot l afecte a les seves families que ningu no oblidi aquesta injusticia altsasugurasoak ;All my support to the young people of Altsasua and all the affection to their families that nobody does not forget this unsustainable injustice
48;en;who said a referendum was a good idea uk citizens are clueless about their future and probably about their present sad very sad brexit ;who said a referendum was a good idea uk citizens are clueless about their future and probably about their present sad very sad brexit 
49;ca;si paga la pena anar contra els partits per aconseguir la independencia i si aixo tambe fara mes forta l anc molt mes que el servilisme dels ultims anys ;if it is worthwhile to go against the parties to achieve independence and if this also will be stronger, I have a lot more than the servility of the last years
50;es;carta abierta de emmanuelmacron a los ciudadanos europeos con profundas reflexiones e interesantes propuestas de necesaria lectura ;open letter from emmanuelmacron to European citizens with deep reflections and interesting proposals of necessary reading
51;ca;volem posar els barris al centre de les prioritats perque a barcelona falten transformacions reals per a combatre les desigualtats mes equipaments de proximitat espais verds transport public avui en parlem ;we want to put the neighborhoods in the center of the priorities so that in Barcelona there are no real transformations to combat inequalities but proximity facilities green spaces public transport today we talked about
52;ca; persones han perdut la vida en incendis aquesta setmana avui dues a les corts el meu condol per a les families i a l espera de coneixer les causes potser cal fer un esforc en prevencio per evitar i frenar aquesta ratxa negra;people have lost their lives on fire this week today two in the courts my condolences for families and waiting to know the causes may need to make an effort in preventing to prevent and curb this black gust of wind
53;es;qsf deberia haber sido cesado cuando negocio con el stoke en el mercado de invierno rcde porque se puede ser modesto pero no dejarse pisotear ;qsf should have been stopped when business with the stoke in the winter market rcde because you can be modest but not be trampled
54;ca;milers d EUR en propaganda fan servir la pobresaenergetica per fer politica i no fan politica per fer front a la pobresa energetica plebcn ;Thousands of euros in propaganda use the power of the poor to make politics and do not make a policy to deal with the energetic poverty of the plebcn
55;es;aprovechar la oportunidad para anticipar elecciones valencianas y singularizarlas ya para siempre es conseguir que se cumpla nuestra vieja aspiracion de no ser relegados de resultar visibles el egoismo es preferir seguir en el peloton solo por calculo electoral adios lotrava ;take the opportunity to anticipate Valencian elections and singling them out forever is to achieve our old aspiration not to be relegated to be visible selfishness is to prefer to remain in the peloton only by electoral calculation goodbye lotrava
56;ca; menagadea t hem trobat a faltar gracies gracies gracies vamvotarvamguanyar;Menagadea we have missed thanks thanks thanks we will vote
57;es;no obviamente los barceloneses tendran que escoger un modelo de ciudad el mio o el de colau pero la independencia sera el gran tema bcn capital catalana espanola europea o bcn capital de una hipotetica republica catalana y colau es la candidata del separatismo ;Obviously, the people of Barcelona will have to choose a model of the city, mine or colau, but independence will be the great issue of the Catalan capital of Spain, or the capital of a hypothetical Catalan republic, and Colau is the candidate of separatism.
58;es;hoy el consejo de ministros ha aprobado un decreto con mejoras en el alquiler que llevabamos tiempo reclamando pero pedro sanchez ha incumplido lo mas importante regular las subidas abusivas del alquiler cediendo a las presiones de fondos especuladores ;today the council of ministers has approved a decree with improvements in the rent that we had been claiming for time but pedro sanchez has broken the most important regular abusive rent increases yielding to the pressures of speculative funds
59;ca;les ciutatsdelcanvi vam venir per canviar les coses municipis mes justos mes sostenibles mes habitables mes democratics i mes amables per a la ciutadania i aixo no ha fet mes que comencar vols coneixer les nostres politiques ciudadesdelcambio ;the exchange cities came to change the most just but most sustainable, but habitable, but more democratic and friendly cities for municipalities and this has only begun to know our cities
60;es;cuando vox te marca el paso acabas diciendo tonterias como esta aplicar el para acabar con las huelgas ;when vox you mark the step you end up saying nonsense like this apply to end the strikes
61;es;la fantasia del brexit esta demoliendo la credibilidad del reino unido laminando sus instituciones y fracturando su sociedad produce incredulidad ver como aun no han entendido que es la ue la tristeza por su perdida esta mutando en irritacion la paciencia parece agotarse ;the fantasy of brexit is demolishing the credibility of the united kingdom by laminating its institutions and fracturing its society produces disbelief see how they have not yet understood that it is the sadness of their loss is mutating in irritation the patience seems to run out
62;ca;compartint impressions sobre la situacio politica a catalunya amb un equip de la cadena xinesa cgtnofficial en emissio europea diada ;sharing impressions about the political situation in catalonia with a team of the China digital cgttofficial in European broadcast day
63;ca;la nostra historia no es completa sense la historia del poble gitano ara la volem portar al congres un orgull incorporar l ismaelcortesg benvingut a l equip ;our history is not completed without the history of the Gypsy people now we want to bring to Congress a pride to incorporate the ismaelcortesg welcome to the team
64;es; el buque de la armada juan carlos i recibido en getxo por una multitud que se ha acercado a recibirlo ningun buque espanol necesita autorizacion politica para atracar en un puerto espanol porque esta en su casa como en getxo ;the navy ship juan carlos i received in getxo by a crowd that has approached to receive it no spanish ship needs political authorization to dock in a spanish port because it is in your house as in getxo
65;es;arrimadas avui al parlamentcat aqui son muy gallitos pero delante del juez se vienen abajo la forca politica que va guanyar les eleccions de catalunya desagradable trist ;close avui to parlamentcat here are very cockeyed but in front of the judge come down the forca politics that goes guanyar les eleccions de catalunya unpleasant trist
66;ca;benvolgut conseller damiacalvet se que ultimament ha estat molt ocupat expulsant empreses del pais pero ens podria explicar com va el prestec per reprendre les obres de la linia que s havia d aprovar l any passat transportcat transportpublic ;dear damiacalvet adviser I know that lately he has been very busy expelling companies from the country but could explain how he is ready to resume the works of the line that was to be approved last year transported transportpublic
67;es;en unos minutos comenzamos con carlos herrera en herreraencope cope podras seguirla en directo aqui vallsbcn vallsencope ;in a few minutes we start with carlos herrera in herreraencope cope you can follow her live here vallsbcn vallsencope
68;ca;barcelona no seria avui en dia la ciutat que es i ell no hauria estat algu tan rellevant sense barcelona ara si per fi oriol bohigas medalla d or de la ciutat ;Barcelona would not be today the city that he and he would not have been so relevant without barcelona now if at last oriol bohigas gold medal of the city
69;ca;dubte resolt erc demana prioritzar refugiats gais pero s escandalitza amb el mateix pels cristians perseguits montsebenedi albertlesan ;Solved doubt I ask to prioritize gay refugees but I am scandalized with the same for Christians persecuted montsebenedi albertlesan
70;ca;des de l obsclimatic seguim analitzant reflexionant i debatint sobre el model lineal de consum del capitalisme i el seu impacte sobre l entorn natural canviclimatic mwc ;From the obsclimatic we continue to analyze reflecting and discussing the linear model of consumption of capitalism and its impact on the natural environment canviclimatic mwc
71;es;artadi tiene la desfachatez de compararse con ana frank y olvida quienes son sus amigos y los de su jefe krls en belgica ;artadi has the effrontery to compare himself with ana frank and forgets who are his friends and those of his boss krls in belgium
72;ca; enhorabona a la comunitat del projectehomecat per la inauguracio dels seus nous espais a bcnsantsmont un projecte de persones i per a persones que sempre em recorda com tothom pot tornar a neixer si se l ajuda de manera adequada ;Congratulations to the projected community for the inauguration of its new spaces at bcnsantsmont a project of people and for people who always reminds me how everyone can be born again if they are helped in a proper way
73;ca;vox ja hi era la foto d iceta amb ells pp i cs a la manifestacio unionista es torna un bumerang ja que ha contribuit a blanquejar una forca politica d extremissima dreta pero ara prou laments mirem al nord centrem nos en nosaltres la vaga de fam la justicia europea la unitat ;vox was already the photo of iceta with them pp and cs in the unionist protest becomes a boomerang as it has helped to whiten a political force of extremist right but now we are sorry we look to the north we focus on us the strike of hunger justice European unity
74;es;consternado al recibir las noticias del ataque terrorista a mezquitas en nueva zelanda mi mas rotunda condena a la violencia y rechazo al fanatismo siempre ;Dismayed to receive the news of the terrorist attack on mosques in New Zealand my most resounding condemnation of violence and rejection of fanaticism always
75;ca;taxis i vtc dues formes d un mateix concepte de mobilitat metropolitana servei public d interes general es hora de solucions globals i utils tots ens som responsables posem nos hi nosaltres els primers pero diguem clarament la violencia no es tolerable ;taxis and vtc two forms of the same concept of metropolitan mobility public service of general interest is time for global and useful solutions we are all responsible for putting ourselves the first ones, but let us say clearly violence is not tolerable
76;ca;comenca llumbcn a poble nou tres dies de creativitat i innovacio artistica i urbana ;Start the village in Llumbcn three days of creativity and artistic and urban innovation
77;en; any political decision based on exclusion lack of solidarity or a false sense of self governance will only create economic depression and barriers for its citizens manuelvalls ; any political decision based on exclusion lack of solidarity or a false sense of self governance will only create economic depression and barriers for its citizens manuelvalls 
78;ca;una bonissima noticia per barcelona i per tota l area metropolitana el tramvia es ecologia eficiencia i mobilitat tenimtramvia ;good news for Barcelona and for all the metropolitan area the tram is ecology efficiency and mobility tenimtramvia
79;es;no estamos prestando suficiente atencion a que el resultado de la csu el domingo en baviera es importantisimo para toda europa y las encuestas pintan mal ;we are not paying enough attention to the fact that the result of the csu on Sunday in Bavaria is very important for all of Europe and the polls paint badly
80;ca;tot el meu suport a alfve una persona que ha treballat per la igualtat d oportunitats i pel benestar de terrassa com ningu ;All my support to Alfue a person who has worked for equality of opportunities and for the well-being of a terrace like no one
81;ca;un motiu d entre tants per fer vaga el m pel dret a l habitatge per l expropiacio de pisos buits en mans de fons voltor municipisfeministes vagafeminista m ;one reason for many to make the most of the right to housing for the expropriation of empty floors in the hands of the Vapememinist city council,
82;es; europa reivindica sus campanas como patrimonio inmaterial de la humanidad ;Europe claims its bells as intangible heritage of humanity
83;es;mi repulsa absoluta al ataque de los violentos al centro lgtbi de bcn pese a algunos barcelona siempre sera una ciudad abierta y tolerante adacolau ;my absolute rejection to the attack of the violent ones to the center lgtbi de bcn despite some barcelona will always be an open and tolerant city adacolau
84;es;para los pactos postelectorales solo importa la unidad estrategica en el tema nacional no importan las propuestas para la ciudad solo importa tener un independentista de alcalde al coste que sea irresponsabilidad ;for the post-electoral pacts only the strategic unit in the national issue matters, the proposals for the city do not matter, it only matters to have an independentista mayor at irresponsible cost
85;es;la unica embajadora en belgica de venezuela que reconocemos es la que nombro ayer la asamblea nacional de venezuela el lunes ppegrupo exigira al parlamento europeo que retire credenciales a la recadera de maduro y reconozca a la embajadora de jguaido a quien hemos reconocido ;the only ambassador in belgica de venezuela that we recognize is the one that I named yesterday the national assembly of venezuela on monday ppegrupo will demand the european parliament to withdraw credentials to the catwalk of mature and recognize the jguaido ambassador to whom we have recognized
86;es;analisis riguroso de la demanda fraudulenta contra llarena en belgica la trampa de los golpistas via elmundoes;rigorous analysis of the fraudulent demand against llarena in belgium the trap of the golpistas via elmundoes
87;ca;fa uns dies un amic de granada em va preguntar com estava la situacio aqui a catalunya la meva resposta sincera va ser ho estem perdent tot i vaig parlar d una paraula clau degradacio ;a few days ago a friend of Granada asked me how was the situation here in Catalonia my sincere response was we are losing everything and I talked about a degradation keyword
88;ca;trump lepen o albiol nomes avancen alla on no hi ha trinxeres institucionals i ciutadanes organitzades cal constituir un front internacional per aturar a l extrema dreta ;trump lepen or albiol only go where there are no organized institutional and civic trenches, it is necessary to set up an international front to stop the extreme right
89;es;mucho animo companeros de csnavarra ni sus amenazas ni su hostigamiento conseguiran callar la defensa de la libertad nonoscallaran ;much courage comrades of csnavarra neither their threats nor their harassment will be able to silence the defense of nonoscallaran freedom
90;es;apoyando al comercio del gotico norte en barcelona ciutatvella con bou colau ha sido su principal lastre delincuencia trabas top manta expulsion del turismo josebouvila empresario y comerciante sera un alcalde ideal para bcn boubcn yobcn yopp ;supporting the north gothic trade in barcelona ciutatvella with bou colau has been its main ballast crime locks top blanket expulsion of tourism josebouvila businessman and merchant will be an ideal mayor for bcn boubcn yobcn yopp
91;ca; de novembre d octubre estructures d estat crida a la mobilitzacio per despres reprimir no traurem els llacos grocs no nomes teniu dret vosaltres a viure de simbolisme no sigueu egoistes ;November of October structures of state call to mobilization then repressing we will not take the yellow lakes not only you have the right to live with symbolism do not be selfish
92;es;tarde en el consell municipal del districte de les corts una buena oportunidad para afianzar las propuestas en favor de vecinos y barrios ;late in the municipal council of the district of les corts a good opportunity to strengthen the proposals in favor of neighbors and neighborhoods
93;ca;un privilegi formar part d aquesta candidatura que representa el canvi per barcelona som exemple de que el dialeg i el consens entre diferents sensibilitats si es possible quan l objectiu es servir als ciutadans fer politica en lloc de fer partidisme ;a privilege to be part of this candidature that represents the change for Barcelona is an example of the dialogue and the consensus between different sensibilities if possible when the objective is to serve the citizens to make politics rather than to make partisanship
94;ca;la declaracio de jorditurull esta sent impecable enorme en la defensa de la voluntat i determinacio lliures del poble de catalunya tambe molt gran en la denuncia de la diferencia de tracte legal que reps si no atens les resolucions del tc en funcio del que penses absolucio ;the declaration of endearment is immaculate enormous in the defense of the free will and determination of the people of catalonia also very great in the denunciation of the difference of legal treatment that you receive if you do not attend the resolutions of the tc depending on what you think absoluta
95;ca;aquest divendres mes de ciutats sortim al carrer per defensar el planeta la vaga pel clima recull el testimoni de la vaga feminista per seguir posant al centre la lluita per la vida hi serem climatestrike ;this Friday, more cities we go out to defend the planet, the strike for the weather collects the testimony of the feminist strike to continue putting the center for the fight for life, we will be climatestrike
96;ca;una de les noticies de la setmana ha passat desapercebuda clar felicitats als treballadors i treballadores de glovo ;one of the news of the week has passed unnoticed by the glow workers and workers
97;es;mi articulo de hoy en lavanguardia cultura s sobre ciencia ciudadania y politicas publicas ;my article today in laundering culture s about science citizenship and public policies
98;es;dice el juez que se niega a aplicar la ley para no favorecer a puigdemont no aplicar la ley por parte de un funcionario se denomina prevaricacion ;says the judge who refuses to apply the law not to favor puigdemont not to apply the law by an official is called prevarication
99;ca;els representants del grup d ercbcn abandonem el plebcn per sumar nos a les mobilitzacions ciutadanes el nostre lloc avui es fent costat a la ciutadania;the representatives of the ercbcn group abandoned the plebcn to join us to the citizen mobilizations our place is now taking sides with the citizens
100;ca; estimada veina tamara com be dius ara compartim repressio pero sobretot l esperanca d un mon millor estic convencut que farem entre tots un mon millor ;dear neighbor tamara how can you say now we share repression but especially the hope of a better world I am convinced that we will make everyone a better world
101;ca;avui hem estat a la pl st miquel per donar suport a les families de l escola entenca que porta anys en unes instal lacions provisionals exactament els anys que l bcnajuntament porta marejant la perdiu fent promeses i improvisant amb propostes de solucions que no compleix ;Today we have been in the pl de miquel to support the families of the entente school that has been in temporary facilities for years in exactly the years that the bcnajuntament takes away the partridge making promises and improvising with proposals of solutions that does not meet
102;ca;faig una crida per una revolta civica per recuperar barcelona hem d impedir que l alianca entre el populisme i el separatisme ens allunyi d europa salvembarcelona vallsbcn ;I call for a civic uprising to recover Barcelona we must prevent the alliance between populism and separatism away from Europe salvembarcelona vallsbcn
103;ca;gracies als calderins i calderines per l acollida en la presentacio del llibre del raulromeva davant un judici injust ens reafirmem esperancaillibertat ;thanks to the boilermakers and boilermakers for the welcome in the presentation of the book of the raulromeva before an unfair trial we reaffirm esperancaillibertat
104;ca;fa uns dies d aquest fabulos article de la jnndiaz sobre rosalia cultura catalana i aprofito per felicitar a rosaliavt pels premis grammy una mostra mes de com de rica i variada es la nostra cultura ;a few days ago of this fabulous article of the jnndiaz about rosalia Catalan culture and I take the opportunity to congratulate Rosaliavt for the grammy awards one more sample of how rich and varied our culture is
105;ca;a la vista dels titulars contradictoris de elpuntavui i del diariara que diu exactament l informe de la fundaciobofill ;in view of the contradictory headlines of the newspaper and the diary that says exactly the report of the foundation
106;es;joaquincamps enhorabuena por el premio azorin ya tengo ganas de empezar a leer la silueta del olvido ;joaquincamps congratulations for the azorin prize and I want to start reading the silhouette of oblivion
107;ca;avui fa un any tot era diferent per a molts va ser un gran xoc emocional d altres estaven euforics bon moment per repassar les hemeroteques danke ;today a year ago everything was different for many was a great emotional shock others were euphoric good time to review the hammeries danke
108;ca;espero que us interessi aquest article sobre la situacio politica del pais recuperant versos de machado que se que interessa als presidents sanchezcastejon i quimtorraipla dialeg ;I hope you will be interested in this article about the political situation in the country recovering axes that are interesting for the presidents of Sánchezcastel and the dialogical dialog
